isian,jarak_m,sudut_elevasi_der,sudut_elevasi_rad,waktu_lintas_det,tipe
0,100,83.35,1486,13.5,IPP
0,150,80.53,1426,13.4,IPP
0,200,76.47,1365,13.2,IPP
0,250,73.07,1300,13.0,IPP
0,300,69.04,1228,12.7,IPP
0,350,64.28,1146,12.2,IPP
0,400,58.37,1042,11.6,IPP
0,450,45.00,800,9.6,IPP
1,200,82.45,1471,18.2,1 IPT COKLAT
1,250,80.53,1438,18.1,1 IPT COKLAT
1,300,78.58,1404,18.0,1 IPT COKLAT
1,350,77.00,1369,17.8,1 IPT COKLAT
1,400,74.59,1333,17.7,1 IPT COKLAT
1,450,72.54,1296,17.5,1 IPT COKLAT
1,500,70.39,1256,17.3,1 IPT COKLAT
1,550,68.17,1214,17.0,1 IPT COKLAT
1,600,65.42,1168,16.7,1 IPT COKLAT
1,650,62.50,1117,16.3,1 IPT COKLAT
1,700,59.27,1057,15.8,1 IPT COKLAT
1,750,55.11,981,15.0,1 IPT COKLAT
1,800,45.00,800,13.0,1 IPT COKLAT
2,300,83.32,1485,23.7,"1 IPT COKLAT, 1 IPT MERAH"
2,350,82.28,1466,23.6,"1 IPT COKLAT, 1 IPT MERAH"
2,400,81.20,1446,23.5,"1 IPT COKLAT, 1 IPT MERAH"
2,450,80.13,1426,23.5,"1 IPT COKLAT, 1 IPT MERAH"
2,500,79.05,1406,23.5,"1 IPT COKLAT, 1 IPT MERAH"
2,550,77.54,1385,23.5,"1 IPT COKLAT, 1 IPT MERAH"
2,600,76.43,1364,23.4,"1 IPT COKLAT, 1 IPT MERAH"
2,650,75.33,1343,23.3,"1 IPT COKLAT, 1 IPT MERAH"
2,700,74.18,1321,23.2,"1 IPT COKLAT, 1 IPT MERAH"
2,750,73.01,1298,23.1,"1 IPT COKLAT, 1 IPT MERAH"
2,800,71.43,1275,23.0,"1 IPT COKLAT, 1 IPT MERAH"
2,850,70.22,1251,22.9,"1 IPT COKLAT, 1 IPT MERAH"
2,900,68.58,1226,22.8,"1 IPT COKLAT, 1 IPT MERAH"
2,950,67.30,1200,22.6,"1 IPT COKLAT, 1 IPT MERAH"
2,1000,65.59,1173,22.5,"1 IPT COKLAT, 1 IPT MERAH"
2,1050,64.18,1143,22.1,"1 IPT COKLAT, 1 IPT MERAH"
2,1100,62.33,1112,21.9,"1 IPT COKLAT, 1 IPT MERAH"
2,1150,60.35,1077,21.7,"1 IPT COKLAT, 1 IPT MERAH"
2,1200,58.23,1038,21.0,"1 IPT COKLAT, 1 IPT MERAH"
2,1250,55.48,992,20.1,"1 IPT COKLAT, 1 IPT MERAH"
2,1300,52.22,931,18.9,"1 IPT COKLAT, 1 IPT MERAH"
2,1350,45.00,800,16.9,"1 IPT COKLAT, 1 IPT MERAH"
3,600,83.18,1481,33.5,"1 IPT COKLAT, 1 IPT MERAH, 1 IPT PUTIH"
3,700,82.11,1461,33.5,"1 IPT COKLAT, 1 IPT MERAH, 1 IPT PUTIH"
